alpha,Scientific_name,english_name
PJF,Pavoraja spinifera,Prickly deep-sea skate
RHK,Rhinoraja kujiensis,
RHJ,Rhinoraja longicauda,
RHE,Rhinoraja odai,
BVA,Breviraja atripinna,
BVC,Breviraja caerulea,Blue ray
BVO,Breviraja colesi,
BVU,Breviraja cubensis,
BVS,Breviraja spinosa,
RAJ,Rajidae,Rays and skates nei
WST,Dasyatis akajei,Whip stingray
RDA,Dasyatis americana,Southern stingray
RDN,Dasyatis annotata,Plain maskray
RDB,Dasyatis bennetti,Bennett's stingray
RDR,Dasyatis brevicaudata,Short-tail stingray
RDV,Dasyatis brevis,Whiptail stingray
RDC,Dasyatis centroura,Roughtail stingray
RDH,Dasyatis chrysonota,
RDD,Dasyatis dipterura,Diamond stingray
RDF,Dasyatis fluviorum,Estuary stingray
RDG,Dasyatis garouaensis,
RDJ,Dasyatis geijskesi,Sharpsnout stingray
RDI,Dasyatis giganteus,
RDU,Dasyatis guttata,Longnose stingray
RDK,Dasyatis kuhlii,Blue-spotted stingray
PLS,Dasyatis violacea,Pelagic stingray
RDO,Dasyatis laosensis,Mekong stingray
RDT,Dasyatis latus,
RDY,Dasyatis leylandi,Painted maskray
RDL,Dasyatis longa,Longtail stingray
RDS,Dasyatis margarita,Daisy stingray
RDE,Dasyatis margaritella,
RDQ,Dasyatis marmorata,
JDM,Dasyatis matsubarai,
RDP,Dasyatis microps,Smalleye stingray
JDP,Dasyatis pastinaca,Common stingray
JDR,Dasyatis rudis,
JDS,Dasyatis sabina,Atlantic stingray
JDY,Dasyatis say,Bluntnose stingray
JDT,Dasyatis thetidis,Thorntail stingray
JDO,Dasyatis tortonesei,Tortonese's stingray
RDW,Dasyatis ukpam,
RDX,Dasyatis ushiei,
RDZ,Dasyatis zugei,Pale-edged stingray
STI,Dasyatis spp,Stingrays nei
DYP,Pastinachus sephen,Cowtail stingray
RTB,Taeniura grabata,Round stingray
RTY,Taeniura lymma,Ribbontail stingray
RTE,Taeniura meyeni,Round ribbontail ray
RUA,Urogymnus asperrimus,Porcupine ray
RUN,Urogymnus natalensis,Butterfly ray
DHK,Himantura alcockii,
DHB,Himantura bleekeri,Bleeker's whipray
DHC,Himantura chaophraya,Freshwater whipray
DHD,Himantura draco,Dragon stingray
DHF,Himantura fai,Pink whipray
DHU,Himantura fluviatilis,
DHG,Himantura gerrardi,Sharpnose stingray
DHR,Himantura granulata,Mangrove whipray
DHM,Himantura imbricata,Scaly whipray
DHJ,Himantura jenkinsii,Jenkins whipray
DHE,Himantura krempfi,
DHN,Himantura marginata,Blackedge whipray
DHX,Himantura oxyrhynchus,Marbled whipray
DHP,Himantura pacifica,Pacific chupare
DHH,Himantura schmardae,Chupare stingray
DHS,Himantura signifer,White-rimmed stingray
DHT,Himantura toshi,Black-spotted whipray
DHV,Himantura uarnak,Honeycomb stingray
DHL,Himantura undulata,Leopard whipray
DHW,Himantura walga,Dwarf whipray
STT,Dasyatidae,"Stingrays, butterfly rays nei"
PPT,Potamotrygon constellata,
PPY,Potamotrygon hystrix,
PPE,Potamotrygon laticeps,
PPM,Potamotrygon magdalenae,
PPR,Potamotrygon motoro,South American freshwater stin
PPI,Potamotrygon scobina,
PPP,Potamotrygon yepezi,
MAF,Aetobatus flagellum,Longheaded eagle ray
MAE,Aetobatus narinari,Spotted eagle ray
MAO,Aetobatus ocellatus,
AQX,Aetobatus spp,
MYL,Myliobatis aquila,Common eagle ray
MYR,Myliobatis australis,Australian bull ray
MYF,Myliobatis californica,Bat eagle ray
MYH,Myliobatis chilensis,
MYM,Myliobatis freminvillii,Bullnose eagle ray
MYO,Myliobatis goodei,Southern eagle ray
MYY,Myliobatis hamlyni,Purple eagle ray
MYT,Myliobatis longirostris,Snouted eagle ray
MYD,Myliobatis tenuicaudatus,Eagle ray
MYJ,Myliobatis tobijei,Japanese eagle ray
MWX,Myliobatis spp,
MPA,Pteromylaeus asperrimus,Rough eagle ray
MPO,Pteromylaeus bovinus,Bull ray
MRA,Rhinoptera adspersa,Rough cownose ray
MRB,Rhinoptera bonasus,Cownose ray
MRR,Rhinoptera brasiliensis,Ticon cownose ray
MRJ,Rhinoptera javanica,Flapnose ray
MRY,Rhinoptera jayakari,Oman cownose ray
MRM,Rhinoptera marginata,Lusitanian cownose ray
MRN,Rhinoptera neglecta,Australian cownose ray
MRS,Rhinoptera steindachneri,Pacific cownose ray
RYM,Aetomylaeus maculatus,Mottled eagle ray
RYV,Aetomylaeus milvus,
RYH,Aetomylaeus niehofii,Banded eagle ray
RYE,Aetomylaeus vespertilio,Ornate eagle ray
RJX,Aetomylaeus spp,
EAG,Myliobatidae,Eagle rays nei
RMA,Manta alfredi,
RMB,Manta birostris,Giant manta
MNT,Manta spp,Manta rays
RMC,Mobula coilloti,
RME,Mobula eregoodootenkee,Longhorned mobula
RMH,Mobula hypostoma,Lesser devil ray
RMJ,Mobula japanica,Spinetail mobula
RMK,Mobula kuhlii,Shortfin devil ray
RMM,Mobula mobular,Devil fish
RMU,Mobula munkiana,Munk's devil ray
RMR,Mobula robertsi,
RMN,Mobula rochebrunei,Lesser Guinean devil ray
RMT,Mobula tarapacana,Chilean devil ray
RMO,Mobula thurstoni,Smoothtail mobula
RMV,Mobula spp,Mobula nei
MAN,Mobulidae,"Mantas, devil rays nei"
RGL,Gymnura altavela,Spiny butterfly ray
RGU,Gymnura australis,Australian butterfly ray
RGC,Gymnura crebripunctata,Longsnout butterfly ray
RGJ,Gymnura japonica,Japanese butterflyray
RGM,Gymnura marmorata,California butterfly ray
RGI,Gymnura micrura,Smooth butterfly ray
RGP,Gymnura poecilura,Long-tailed butterfly ray
RGT,Gymnura tentaculata,
RGZ,Gymnura zonura,Zonetail butterfly ray
RBY,Gymnura spp,Butterfly rays nei
HHB,Hexatrygon bickelli,Sixgill stingray
HHL,Hexatrygon longirostra,
RTJ,Trygonoptera javanica,
RTK,Trygonoptera kaiana,
RTU,Trygonoptera mucosa,Western shovelnose stingaree
RTO,Trygonoptera ovalis,Striped stingaree
RTP,Trygonoptera personata,Masked stingaree
RUR,Urolophus armatus,
RUU,Urolophus aurantiacus,
RUC,Urolophus bucculentus,Sandyback stingaree
RUI,Urolophus circularis,Circular stingaree
RUO,Urolophus concentricus,Spot-on-spot round ray
RUT,Urolophus cruciatus,Crossback stingaree
RUE,Urolophus expansus,Wide stingaree
RUV,Urolophus flavomosaicus,Patchwork stingaree
RUG,Urolophus gigas,Spotted stingaree
RUH,Urolophus halleri,Haller's round ray
RUJ,Urolophus jamaicensis,Yellow stingray
RUL,Urolophus lobatus,Lobed stingaree
RUM,Urolophus maculatus,Spotted round ray
RUK,Urolophus mitosis,Mitotic stingaree
RUQ,Urolophus orarius,Coastal stingaree
RUP,Urolophus paucimaculatus,Sparsely-spotted stingaree
RUX,Urolophus sufflavus,Yellowback stingaree
RUY,Urolophus testaceus,Common stingaree
RUZ,Urolophus viridis,Greenback stingaree
RUW,Urolophus westraliensis,Brown stingaree
RVX,Urolophus spp,
JUA,Urotrygon aspidura,Spiny-tail round ray
JUC,Urotrygon chilensis,Chilean round ray
JUM,Urotrygon microphthalmum,
JUU,Urotrygon munda,Munda round ray
JUN,Urotrygon nana,Dwarf round ray
JUR,Urotrygon reticulata,Reticulate round ray
JUO,Urotrygon rogersi,Rogers' round ray
JUS,Urotrygon simulatrix,Fake round ray
RAM,Anacanthobatis americanus,
RAO,Anacanthobatis borneensis,
RAU,Anacanthobatis marmoratus,Spotted legskate
RAN,Anacanthobatis melanosoma,
RAH,Anacanthobatis ori,Black legskate
RPD,Plesiobatis daviesi,Deep-water stingray
SRX,Rajiformes,"Rays, stingrays, mantas nei"
TTB,Torpedo bauchotae,Rosette torpedo
TTC,Torpedo californica,Pacific electric ray
TTF,Torpedo fairchildi,New Zealand torpedo
TTU,Torpedo fuscomaculata,Black-spotted torpedo
TTN,Torpedo mackayana,Ringed torpedo
TTI,Torpedo macneilli,Shorttail torpedo
TTR,Torpedo marmorata,Marbled electric ray
TTO,Torpedo nobiliana,Electric ray
TTT,Torpedo panthera,Panther electric ray
TTD,Torpedo peruana,Peruvian torpedo
TTJ,Torpedo sinuspersici,Variable torpedo ray
TTQ,Torpedo tokionis,Trapezoid torpedo
TTV,Torpedo torpedo,Common torpedo
TTW,Torpedo tremens,Chilean torpedo
TZP,Torpedo puelcha,Argentine torpedo
TOE,Torpedo spp,Torpedo rays
TTP,Hypnos monopterygium,Australian numbfish
TOD,Torpedinidae,Electric rays nei
TNB,Benthobatis marcida,Blind torpedo
TNC,Crassinarke dormitor,
TND,Diplobatis ommata,Ocellated electric ray
TNP,Diplobatis picta,
TNY,Discopyge tschudii,
TNH,Heteronarce garmani,Natal electric ray
TNM,Heteronarce mollis,
TNA,Narcine brasiliensis,Brazilian electric ray
TNR,Narcine brevilabiata,
TNU,Narcine brunnea,Brown numbfish
TNE,Narcine entemedor,Giant electric ray
TNI,Narcine indica,
TNL,Narcine lingula,
TNO,Narcine prodorsalis,
TNN,Narcine rierai,Slender electric ray
TNT,Narcine tasmaniensis,Tasmanian numbfish
TNQ,Narcine timlei,Spotted numbfish
TNV,Narcine vermiculatus,Vermiculate electric ray
TNW,Narcine westraliensis,Banded numbfish
TNK,Narke capensis,Onefin electric ray
TNG,Narke dipterygia,Numbray
TNJ,Narke japonica,
NTH,Temera hardwickii,
NTY,Typhlonarke aysoni,Blind electric ray
NTT,Typhlonarke tarakea,Oval electric ray
TOF,Torpediniformes,"Electric rays, etc.nei"
CMO,Chimaera monstrosa,Rabbit fish
CMH,Chimaera phantasma,Silver chimaera
CMS,Chimaera jordani,
CMW,Chimaera owstoni,
CMU,Chimaera cubana,
CWM,Chimaera spp,
RAT,Hydrolagus colliei,Spotted ratfish
CYA,Hydrolagus affinis,Smalleyed rabbitfish
CYF,Hydrolagus africanus,African chimaera
CYL,Hydrolagus alberti,
CYB,Hydrolagus barbouri,
CYD,Hydrolagus deani,Philippine chimaera
CYI,Hydrolagus eidolon,
CYS,Hydrolagus lemures,Blackfin ghostshark
CYH,Hydrolagus mirabilis,Large-eyed rabbitfish
CYX,Hydrolagus mitsukurii,
CYV,Hydrolagus novaezealandiae,Dark ghost shark
CYJ,Hydrolagus ogilbyi,
CYZ,Hydrolagus pallidus,
CHV,Hydrolagus purpurescens,Purple chimaera
HYD,Hydrolagus spp,Ratfishes nei
RCT,Rhinochimaera atlantica,Straightnose rabbitfish
RCP,Rhinochimaera pacifica,Pacific spookfish
RHC,Rhinochimaera spp,Knife-nosed chimaeras nei
HCH,Harriotta haeckeli,Smallspine spookfish
HCR,Harriotta raleighana,Pacific longnose chimaera
HAR,Harriotta spp,Longnose chimaeras
CNN,Neoharriotta pinnata,Sicklefin chimaera
CHB,Callorhinchus milii,Ghost shark
CHJ,Callorhinchus callorynchus,Plownose chimaera
CHM,Callorhinchus capensis,Cape elephantfish
CAH,Callorhinchidae,"Elephantfishes, etc. nei"
HOL,Chimaeriformes,"Chimaeras, etc. nei"
CNF,Neoceratodus forsteri,Australian lungfish
LLP,Lepidosiren paradoxa,South American lungfish
CLC,Latimeria chalumnae,Coelacanth
PPD,Polypterus endlicheri,
PPV,Polypterus senegalus,
PEC,Erpetoichthys calabaricus,Reedfish
PPB,Protopterus aethiopicus,Marbled lungfish
PPG,Protopterus annectens,West African lungfish
FLU,Protopterus spp,African lungfishes
APU,Acipenser sturio,Sturgeon
APG,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr)
AAA,Acipenser naccarii,Adriatic sturgeon
APR,Acipenser ruthenus,Sterlet sturgeon
APE,Acipenser stellatus,Starry sturgeon
AAN,Acipenser nudiventris,Fringebarbel sturgeon
AAF,Acipenser fulvescens,Lake sturgeon
AAO,Acipenser oxyrinchus,Atlantic sturgeon
APN,Acipenser transmontanus,White sturgeon
AAY,Acipenser brevirostrum,Shortnose sturgeon
APB,Acipenser baerii,Siberian sturgeon
AAH,Acipenser schrenckii,Amur sturgeon
AAD,Acipenser dabryanus,Yangtze sturgeon
AAM,Acipenser medirostris,Green sturgeon
AAK,Acipenser mikadoi,Sakhalin sturgeon
AAP,Acipenser persicus,Persian sturgeon
AAI,Acipenser sinensis,Chinese sturgeon
AAU,Acipenser multiscutatus,Japanese sturgeon
PHF,Scaphirhynchus platorynchus,Shovelnose sturgeon
PHS,Scaphirhynchus albus,Pallid sturgeon
HUH,Huso huso,Beluga
AHM,Huso dauricus,Kaluga
PSN,Pseudoscaphirhynchus hermanni,Dwarf sturgeon
PSF,Pseudoscaphirhynchus kaufmanni,Amu Darya sturgeon
STU,Acipenseridae,Sturgeons nei
PAM,Polyodon spathula,Mississippi paddlefish
AHG,Psephurus gladius,Chinese swordfish
AAC,Amia calva,Bowfin
LLO,Lepisosteus osseus,Longnose gar
LFV,Lepisosteus platyrhincus,Florida gar
LVQ,Lepisosteus platostomus,Shortnose gar
LVT,Lepisosteus oculatus,Spotted gar
LET,Atractosteus tristoechus,Cuban gar
LLS,Atractosteus spatula,Alligator gar
JTP,Atractosteus tropicus,Tropical gar
LKX,Atractosteus spp,
LXS,Lepisosteidae,Gars nei
SUX,Sundasalanx malleti,
HER,Clupea harengus,Atlantic herring
HEP,Clupea pallasii,Pacific herring
CBK,Chirocentrodon bleekerianus,Dogtooth herring
AGC,Amblygaster clupeoides,Bleeker smoothbelly sardinella
AGL,Amblygaster leiogaster,Smoothbelly sardinella
AGS,Amblygaster sirm,Spotted sardinella
CUI,Alosa caspia,Caspian shad
SHC,Alosa pontica,Pontic shad
SHA,Alosa sapidissima,American shad
ASD,Alosa alosa,Allis shad
TSD,Alosa fallax,Twaite shad
ALE,Alosa pseudoharengus,Alewife
BBH,Alosa aestivalis,Blueback shad
SHH,Alosa mediocris,Hickory shad
CUK,Alosa brashnikovi,Caspian marine shad
CUA,Alosa alabamae,Alabama shad
CUE,Alosa kessleri,Caspian anadromous shad
SHE,Alosa maeotica,Black Sea shad
CUV,Alosa saposhnikovi,Saposhnikovi shad
CUH,Alosa sphaerocephala,Agrakhan shad
SHZ,Alosa spp,Shads nei
SHD,"Alosa alosa, A. fallax",Allis and twaite shads
SDY,Sardinella brachysoma,Deepbody sardinella
SAG,Sardinella gibbosa,Goldstripe sardinella
IOS,Sardinella longiceps,Indian oil sardine
SDM,Sardinella melanura,Blacktip sardinella
FRS,Sardinella fimbriata,Fringescale sardinella
SDI,Sardinella sindensis,Sind sardinella
SAA,Sardinella aurita,Round sardinella
SDN,Sardinella neglecta,East African sardinella
SDJ,Sardinella jussieui,Mauritian sardinella
SAE,Sardinella maderensis,Madeiran sardinella
SDB,Sardinella albella,White sardinella
JSS,Sardinella zunasi,Japanese sardinella
SAM,Sardinella lemuru,Bali sardinella
BSR,Sardinella brasiliensis,Brazilian sardinella
FJS,Sardinella fijiense,Fiji sardinella
SIX,Sardinella spp,Sardinellas nei
JAP,Sardinops melanostictus,Japanese pilchard
CPI,Sardinops caeruleus,California pilchard
CHP,Sardinops sagax,South American pilchard
PIA,Sardinops ocellatus,Southern African pilchard
SRP,Sardinops neopilchardus,Australian pilchard
CKT,Caspialosa curensis,Kura shad
ASP,Caspialosa spp,Caspian shads
SIA,Stolothrissa tanganicae,Lake Tanganyika sprat
SHG,Dorosoma cepedianum,American gizzard shad
CDA,Dorosoma petenense,Threadfin shad
DQX,Dorosoma spp,
RIA,Rhinosardinia amazonica,Amazon spinejaw sprat
OXL,Odaxothrissa losera,Losera fangtooth pellonuline
PLO,Pellonula leonensis,Smalltoothed pellonula
CHG,Anodontostoma chacunda,Chacunda gizzard shad
MHS,Brevoortia aurea,Brazilian menhaden
MHP,Brevoortia pectinata,Argentine menhaden
MHA,Brevoortia tyrannus,Atlantic menhaden
MHG,Brevoortia patronus,Gulf menhaden
MHT,Brevoortia smithi,Yellowfin menhaden
MVX,Brevoortia spp,Menhadens nei
CUO,Clupeoides borneensis,Borneo river sprat
CLK,Corica soborna,Ganges river sprat
RAS,Dussumieria acuta,Rainbow sardine
RAL,Dussumieria elopsoides,Slender rainbow sardine
RWA,Dussumieria spp,Rainbow sardines nei
BOA,Ethmalosa fimbriata,Bonga shad
RRH,Etrumeus teres,Red-eye round herring
WRR,Etrumeus whiteheadi,Whitehead's round herring
CGI,Gonialosa manmina,Ganges river gizzard shad
CGD,Gonialosa modesta,Burmese river gizzard shad
HCC,Harengula clupeola,False herring
HCU,Harengula humeralis,Redear herring
HCT,Harengula thrissina,Pacific flatiron herring
HCG,Harengula jaguana,Scaled herring
SAS,Harengula spp,Scaled sardines
HIX,Hilsa kelee,Kelee shad
CJL,Jenkinsia lamprotaenia,Dwarf round herring
CJS,Jenkinsia stolifera,Florida round herring
HIL,Tenualosa ilisha,Hilsa shad
THT,Tenualosa thibaudeaui,Laotian shad
REE,Tenualosa reevesii,Reeves shad
TOL,Tenualosa toli,Toli shad
TWN,Tenualosa macrura,Longtail shad
CNS,Nematalosa nasus,Bloch's gizzard shad
NCO,Nematalosa come,Western Pacific gizzard shad
CNE,Nematalosa erebi,Australian river gizzard shad
CNJ,Nematalosa japonica,Japanese gizzard shad
THP,Opisthonema libertate,Pacific thread herring
THA,Opisthonema oglinum,Atlantic thread herring
OPU,Opisthonema bulleri,Slender thread herring
OPM,Opisthonema medirastre,Middling thread herring
THX,Opisthonema spp,Thread herrings nei
SRH,Spratelloides gracilis,Silver-stripe round herring
SPD,Spratelloides delicatulus,Delicate round herring
CUY,Cynothrissa ansorgii,Ansorge fangtooth pellonuline
CUM,Cynothrissa mento,Nigerian fangtooth pellonuline
CGH,Gudusia chapra,Indian river shad
DAS,Clupanodon thrissa,Chinese gizzard shad
CLA,Clupeonella cultriventris,Black and Caspian Sea sprat
CLE,Clupeonella engrauliformis,Anchovy sprat
CLG,Clupeonella grimmi,Southern Caspian sprat
CWA,Clupeonella spp,Black-Caspian Sea sprats nei
DOD,Konosirus punctatus,Dotted gizzard shad
LCP,Lile piquitinga,Atlantic piquitinga
LCS,Lile stolifera,Pacific piquitinga
PIL,Sardina pilchardus,European pilchard(=Sardine)
CGR,Gilchristella aestuarius,Gilchrist's round herring
SPR,Sprattus sprattus,European sprat
FAS,Sprattus fuegensis,Falkland sprat
MES,Ethmidium maculatum,Pacific menhaden
HES,Herklotsichthys quadrimaculat.,Bluestripe herring
HKD,Herklotsichthys dispilonotus,Blacksaddle herring
HKG,Herklotsichthys gotoi,Goto's herring
HKL,Herklotsichthys lossei,Gulf herring
EST,Escualosa thoracata,White sardine
LTM,Limnothrissa miodon,Lake Tanganyika sardine
CKI,Strangomera bentincki,Araucanian herring
PLP,Platanichthys platana,River Plate sprat
RTA,Ramnogaster arcuata,Jenyns's sprat
PCD,Potamalosa richmondia,Australian freshwater herring
SRB,Spratellomorpha bianalis,Two-finned round herring
CDM,Dayella malabarica,Day's round herring
THN,Thrattidion noctivagus,Sanaga pygmy herring
CDK,Laeviscutella dekimpei,Roundbelly pellonuline
SRL,Sierrathrissa leonensis,West African pygmy herring
MCX,Microthrissa royauxi,Royal sprat
PTU,Potamothrissa acutirostris,Sharpnosed sawtooth pellonul.
PCM,Poecilothrissa moeruensis,Lake Mweru sprat
CNR,Nannothrissa parva,Lake Tumba dwarf sprat
CUR,Clupeichthys aesarnensis,Thai river sprat
CVU,Clupeichthys goniognathus,Sumatran river sprat
CEF,Ehirava fluviatilis,Malabar sprat
CGS,Congothrissa gossei,Smoothbelly pellonuline
SUM,Sauvagella madagascariensis,Madagascar round herring
HPV,Hyperlophus vittatus,Sandy sprat
CLP,Clupeidae,"Herrings, sardines nei"
DAG,"Stolothrissa, Limnothrissa spp",Dagaas
ANE,Engraulis encrasicolus,European anchovy
JAN,Engraulis japonicus,Japanese anchovy
ANA,Engraulis anchoita,Argentine anchovy
NPA,Engraulis mordax,Californian anchovy
VET,Engraulis ringens,Anchoveta(=Peruvian anchovy)
ANC,Engraulis capensis,Southern African anchovy
ENR,Engraulis spp,Anchovies nei
EAS,Amazonsprattus scintilla,Rio Negro pygmy anchovy
END,Encrasicholina devisi,Devis' anchovy
ECT,Encrasicholina heteroloba,Shorthead anchovy
STL,Encrasicholina punctifer,Buccaneer anchovy
EJJ,Jurengraulis juruensis,Jurua anchovy
EPM,Papuengraulis micropinna,Littlefin anchovy
AVA,Cetengraulis edentulus,Atlantic anchoveta
VEP,Cetengraulis mysticetus,Pacific anchoveta
EAA,Anchoa argentivittata,Regan's anchovy
EAR,Anchoa curta,Short anchovy
EAM,Anchoa marinii,Marini's anchovy
EAC,Anchoa choerostoma,Bermuda anchovy
EAN,Anchoa nasus,Longnose anchovy
EAE,Anchoa eigenmannia,Eigenmann's anchovy
EAI,Anchoa ischana,Slender anchovy
EAJ,Anchoa januaria,Rio anchovy
EAP,Anchoa panamensis,Panama anchovy
ENP,Anchoa hepsetus,Broad-striped anchovy
EAF,Anchoa filifera,Longfinger anchovy
EAO,Anchoa compressa,Deep body anchovy
EAT,Anchoa pectoralis,Bigfin anchovy
EAU,Anchoa cubana,Cuban anchovy
ANB,Anchoa mitchilli,Bay anchovy
EAL,Anchoa lamprotaenia,Big-eye anchovy
EAY,Anchoa lyolepis,Shortfinger anchovy
EAH,Anchoa spinifer,Spicule anchovy
EAQ,Anchoa tricolor,Piquitinga anchovy
EAK,Anchoa trinitatis,Trinidad anchovy
AHC,Anchovia macrolepidota,Bigscale anchovy
AHU,Anchovia clupeoides,Zabaleta anchovy
EVN,Anchoviella cayennensis,Cayenne anchovy
EVA,Anchoviella alleni,Allen's anchovy
EVE,Anchoviella elongata,Elongate anchovy
EVB,Anchoviella brevirostris,Snubnose anchovy
EVL,Anchoviella lepidentostole,Broadband anchovy
EVG,Anchoviella guianensis,Guyana anchovy
EVJ,Anchoviella jamesi,James's anchovy
EVT,Anchoviella nattereri,Natterer's anchovy
EVV,Anchoviella vaillanti,Vaillant's anchovy
ECD,Coilia dussumieri,Goldspotted grenadier anchovy
ECB,Coilia brachygnathus,Yangtse grenadier anchovy
ECM,Coilia macrognathos,Longjaw grenadier anchovy
RAA,Coilia mystus,Osbeck's grenadier anchovy
ECA,Coilia nasus,Japanese grenadier anchovy
ELB,Lycengraulis batesii,Bates' sabretooth anchovy
ANR,Lycengraulis grossidens,Atlantic sabretooth anchovy
ELO,Lycothrissa crocodilus,Sabretoothed thryssa
ESM,Setipinna melanochir,Dusky-hairfin anchovy
ESP,Setipinna phasa,Gangetic hairfin anchovy
ESB,Setipinna breviceps,Shorthead hairfin anchovy
ESY,Setipinna taty,Scaly hairfin anchovy
ESU,Setipinna tenuifilis,Common hairfin anchovy
ESR,Stolephorus commersonii,Commerson's anchovy
ESA,Stolephorus baganensis,Bagan anchovy
ESC,Stolephorus chinensis,China anchovy
ESI,Stolephorus indicus,Indian anchovy
ESN,Stolephorus insularis,Hardenberg's anchovy
